CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
20487,CS,00100,  1,"Full Term ... 
16-JAN to 03-MAY",Online,"COMP SCI LEARNING COMMUNITY-RS3+1 students only
","Ryan, Natalie",   ,Online,,1,20,0,0,9,11,50,0,50,
20488,CS,00100,  2,"Full Term ... 
16-JAN to 03-MAY",Day,COMP SCI LEARNING COMMUNITY-RS,"Fischetti, Jessica Lee","M       1015 1215 ROBSON 121 (Exam)
M       1100 1215 ROBSON 121 (Class)",Main,,1,65,0,0,54,11,50,0,50,65
20489,CS,00100,  3,"Full Term ... 
16-JAN to 03-MAY",Evening,COMP SCI LEARNING COMMUNITY-RS,"Ferrara, Jill T","M       1700 1815 JAMES 3114 (Class)
M       1700 1900 JAMES 3114 (Exam)",Main,,1,65,0,0,50,15,50,0,50,68
20490,CS,00100,  4,"Full Term ... 
16-JAN to 03-MAY",Evening,COMP SCI LEARNING COMMUNITY-RS,STAFF,,Main,,1,0,0,0,0,0,0,0,0,
20566,CS,01101,  1,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTER SCIENCE PRINCIPLES,"Swift, Adam R",   ,Online,,3,35,0,0,35,0,50,0,50,
20569,CS,01101,  2,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTER SCIENCE PRINCIPLES,"Togashi, Michele Mayumi",   ,Online,,3,35,0,0,34,1,50,0,50,
20570,CS,01101,  3,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER SCIENCE PRINCIPLES,"Smith, Howard R","MW      1230 1345 ROBSON 325 (Class)
W       1230 1430 ROBSON 325 (Exam)",Main,,3,27,0,0,26,1,50,0,50,27
20579,CS,01104,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,INTRO PROG/PROB SLV:C#,"Epler, Robert Michael","T       1830 1945 ROBSON 325 (Class)
T       1905 2105 ROBSON 325 (Exam)
T       2000 2115 ROBSON 325 (Class)",Main,,3,27,0,0,15,12,50,0,50,27
20591,CS,01104,  2,"Full Term ... 
16-JAN to 03-MAY",Day,INTRO PROG/PROB SLV:JAVA,"Basu, Shuba","TR      0800 0915 BUSN 233 (Class)
T       0800 1000 BUSN 233 (Exam)",Main,,3,31,0,0,30,1,50,0,50,40
20592,CS,01104,  3,"Full Term ... 
16-JAN to 03-MAY",Day,INTRO PROG/PROB SLV:JAVA,"Guo, Guimu","TR      0930 1045 BUSN 233 (Class)
R       1015 1215 BUSN 233 (Exam)",Main,,3,31,0,0,26,5,50,0,50,40
20593,CS,01104,  4,"Full Term ... 
16-JAN to 03-MAY",Online,INTRO PROG/PROB SLV:JAVA,"Auriemma, Thomas Henry",   ,Online,,3,35,0,0,30,5,50,0,50,
20594,CS,01104,  5,"Full Term ... 
16-JAN to 03-MAY",Online,INTRO PROG/PROB SLV:JAVA,"McMillan, Quadii Kareem",   ,Online,,3,35,0,0,35,0,50,0,50,
20586,CS,01104,  6,"Full Term ... 
16-JAN to 03-MAY",Day,INTRO PROG/PROB SLV:PYTHON,"Lueder, Nikkoli Theodore","TR      1530 1645 JAMES 2113 (Class)
R       1445 1645 JAMES 2113 (Exam)",Main,,3,28,0,0,28,0,50,0,50,28
20587,CS,01104,  7,"Full Term ... 
16-JAN to 03-MAY",Evening,INTRO PROG/PROB SLV:PYTHON,"Lueder, Nikkoli Theodore","TR      1700 1815 JAMES 2113 (Class)
T       1700 1900 JAMES 2113 (Exam)",Main,,3,28,0,0,27,1,50,0,50,28
20588,CS,01104,  8,"Full Term ... 
16-JAN to 03-MAY",Evening,INTRO PROG/PROB SLV:PYTHON,"Garron, Harold John","T       1830 1945 BUSN 107 (Class)
T       1905 2105 BUSN 107 (Exam)
T       2000 2115 BUSN 107 (Class)",Main,,3,31,0,0,28,3,50,0,50,40
20589,CS,01104,  9,"Full Term ... 
16-JAN to 03-MAY",Evening,INTRO PROG/PROB SLV:PYTHON,"Zeits, Mark A","R       1830 1945 BUSN 233 (Class)
R       1905 2105 BUSN 233 (Exam)
R       2000 2115 BUSN 233 (Class)",Main,,3,31,0,0,10,21,50,0,50,40
20580,CS,01104, 10,"Full Term ... 
16-JAN to 03-MAY",Evening,INTRO PROG/PROB SLV:PYTHON,"Righter, Aaron","M       1830 1945 ROBSON 325 (Class)
M       1905 2105 ROBSON 325 (Exam)
M       2000 2115 ROBSON 325 (Class)",Main,,3,27,0,0,27,0,50,0,50,27
25509,CS,01104, 11,"Module Four ... 
12-MAR to 06-MAY",Online,INTRO PROG/PROB SLV:PYTHON,"Lafferty, Melissa Lee",   ,Online,,3,35,0,0,18,17,50,0,50,
20597,CS,01110,  1,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTING ENVIRONMENTS,"DiGialleonardo, Janice J",   ,Online,,3,35,0,0,34,1,50,0,50,
20598,CS,01110,  2,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTING ENVIRONMENTS,"DiGialleonardo, Janice J",   ,Online,,3,35,0,0,35,0,50,0,50,
20599,CS,01110,  3,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTING ENVIRONMENTS,"Dougherty, William E",   ,Online,,3,35,0,0,35,0,50,0,50,
20600,CS,01110,  4,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTING ENVIRONMENTS,"Dougherty, William E",   ,Online,,3,35,0,0,35,0,50,0,50,
20601,CS,01110,  5,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTING ENVIRONMENTS,"Amberths, Jasmine",   ,Online,,3,35,0,0,32,3,50,0,50,
20602,CS,01110,  6,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTING ENVIRONMENTS,"Barnes, Karen Denise",   ,Online,,3,35,0,0,33,2,50,0,50,
25724,CS,01110,  7,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTING ENVIRONMENTS,"Fiedler, Frank",   ,Online,,3,35,0,0,35,0,50,0,50,
25850,CS,01110,  8,"Module Four ... 
12-MAR to 06-MAY",Online,COMPUTING ENVIRONMENTS,"Amberths, Jasmine",   ,Online,,3,35,0,0,29,6,50,1,49,
25972,CS,01110,  9,"Module Four ... 
12-MAR to 06-MAY",Online,COMPUTING ENVIRONMENTS,"Barnes, Karen Denise",   ,Online,,3,35,0,0,9,26,50,0,50,
21063,CS,01211,  1,"Full Term ... 
16-JAN to 03-MAY",Online,PRINC OF INFORMATION SECURITY,"Gonzalez, Gilbert E.",   ,Online,,3,35,1,0,35,0,0,0,0,
21064,CS,01501,  1,"Full Term ... 
16-JAN to 03-MAY",Online,ESSENTIALS OF COMPUTER SCI I,"Petit, Thierry",   ,Online,,3,35,0,0,30,5,0,0,0,
21065,CS,01501,  2,"Full Term ... 
16-JAN to 03-MAY",Online,ESSENTIALS OF COMPUTER SCI I,"Romero, Fernando",   ,Online,,3,35,0,0,32,3,0,0,0,
21066,CS,01502,  1,"Full Term ... 
16-JAN to 03-MAY",Online,ESSENTIALS OF COMPUTER SCI II,"Chu, Heng Yi M",   ,Online,,3,35,0,0,42,-7,0,0,0,
21067,CS,01502,  2,"Full Term ... 
16-JAN to 03-MAY",Online,ESSENTIALS OF COMPUTER SCI II,"Berenbach, Brian A",   ,Online,,3,35,0,0,42,-7,0,0,0,
24438,CS,02370,  1,"Full Term ... 
16-JAN to 03-MAY",Day,INTRO TO INFO VISUALIZATION,"Sun, Bo","TR      1100 1215 ROBSON 323 (Class)
T       1015 1215 ROBSON 323 (Exam)",Main,,3,30,0,0,27,3,50,0,50,30
21068,CS,02421,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,BIG DATA TOOLS AND TECHNIQUES,"Chandrasekaran, Ganesh","T       1830 1945 ROBSON 211 (Class)
T       1905 2105 ROBSON 211 (Exam)
T       2000 2115 ROBSON 211 (Class)",Main,,3,15,0,0,15,0,50,0,50,48*
24435,CS,02435,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,DATABASE SYS:THEORY & PROGM,"Boccaleri, Dominic Alexander","M       1830 1945 ROBSON 323 (Class)
M       1905 2105 ROBSON 323 (Exam)
M       2000 2115 ROBSON 323 (Class)",Main,,3,30,0,0,30,0,50,0,50,30
24436,CS,02435,  2,"Full Term ... 
16-JAN to 03-MAY",Day,DATABASE SYS:THEORY & PROGM,"Trofimoff, Alejandro Erick","R       1100 1215 ROBSON 121 (Class)
R       1230 1345 ROBSON 121 (Class)
R       1230 1430 ROBSON 121 (Exam)",Main,,3,30,0,0,27,3,50,0,50,65
24437,CS,02440,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,DATA WAREHOUSING,"Leonchuck, Michael Blaise","M       1830 1945 ROBSON 121 (Class)
M       1905 2105 ROBSON 121 (Exam)
M       2000 2115 ROBSON 121 (Class)",Main,,3,20,0,0,20,0,50,0,50,65*
24439,CS,02480,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,INTRODUCTION TO DATA MINING,"Witkowski, Jonathan","R       1830 1945 ROBSON 323 (Class)
R       1905 2105 ROBSON 323 (Exam)
R       2000 2115 ROBSON 323 (Class)",Main,,3,30,0,0,28,2,50,0,50,30
21069,CS,02505,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,DATA MINING I,"Yesilbas, Veysel","T       1830 1945 JAMES 3114 (Class)
T       1905 2105 JAMES 3114 (Exam)
T       2000 2115 JAMES 3114 (Class)",Main,,3,68,0,0,66,2,0,0,0,68
21071,CS,02516,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,"BIG DATA TOOLS AND TECHNIQUESASRC Fed Mission Solutions Eng only
","Chandrasekaran, Ganesh",R       1715 1945   (Class),ASRC Fed Mission Solutions Eng,,3,30,0,0,26,4,0,0,0,
22277,CS,02516,  2,"Full Term ... 
16-JAN to 03-MAY",Evening,"BIG DATA TOOLS AND TECHNIQUESMS Data Science students only.
","Chandrasekaran, Ganesh","W       1830 1945 ROBSON 211 (Class)
W       1905 2105 ROBSON 211 (Exam)
W       2000 2115 ROBSON 211 (Class)",Main,,3,30,0,0,39,-9,0,0,0,48
25853,CS,02516,  3,"Full Term ... 
16-JAN to 03-MAY",Evening,BIG DATA TOOLS AND TECHNIQUES,"Chandrasekaran, Ganesh","T       1830 1945 ROBSON 211 (Class)
T       1905 2105 ROBSON 211 (Exam)
T       2000 2115 ROBSON 211 (Class)",Main,,3,0,0,0,18,-18,0,0,0,48*
21076,CS,02530,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,ADV DATABASE SYS:THEORY/PRO,"Burns, Edward Ewing","M       1830 1945 ROWAN 117 (Class)
M       1905 2105 ROWAN 117 (Exam)
M       2000 2115 ROWAN 117 (Class)",Main,,3,100,0,0,100,0,0,0,0,116
21075,CS,02530,  2,"Full Term ... 
16-JAN to 03-MAY",Evening,ADV DATABASE SYS:THEORY/PRO,"Masterson, John J","T       1830 1945 ENTPRZ 517 (Class)
T       1905 2105 ENTPRZ 517 (Exam)
T       2000 2115 ENTPRZ 517 (Class)",Main,,3,30,0,0,30,0,0,0,0,40
21074,CS,02530,  3,"Full Term ... 
16-JAN to 03-MAY",Evening,ADV DATABASE SYS:THEORY/PRO,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
21084,CS,02605,  1,"Full Term ... 
16-JAN to 03-MAY",Day,DATA MINING II,"Breitzman, Anthony F","M       1530 1645 ROBSON 207 (Class)
M       1700 1815 ROBSON 207 (Class)
M       1700 1900 ROBSON 207 (Exam)",Main,,3,30,0,0,10,20,0,0,0,36
21085,CS,02620,  1,"Full Term ... 
16-JAN to 03-MAY",Day,DATA WAREHOUSING,"Breitzman, Anthony F","W       1230 1345 JAMES 3114 (Class)
W       1230 1430 JAMES 3114 (Exam)
W       1400 1515 JAMES 3114 (Class)",Main,,3,68,0,0,61,7,0,0,0,68
25854,CS,02620,  2,"Full Term ... 
16-JAN to 03-MAY",Evening,DATA WAREHOUSING,"Leonchuck, Michael Blaise","M       1830 1945 ROBSON 121 (Class)
M       1905 2105 ROBSON 121 (Exam)
M       2000 2115 ROBSON 121 (Class)",Main,,3,0,0,0,9,-9,0,0,0,65*
25207,CS,02630,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,ADV TOPICS IN DATABASE SYSTEMS,"Boccaleri, Dominic Alexander","T       1830 1945 ROBSON 207 (Class)
T       1905 2105 ROBSON 207 (Exam)
T       2000 2115 ROBSON 207 (Class)",Main,,3,30,0,0,32,-2,0,0,0,36
24451,CS,03351,  1,"Full Term ... 
16-JAN to 03-MAY",Day,"CYBER SEC: FUND, PRIN AND APPS","Bouhsine, Taha
Alicioglu, Gulsum
","TR      1100 1215 JAMES 2108 (Class)
T       1015 1215 JAMES 2108 (Exam)",Main,,3,20,0,0,20,0,50,0,50,20
24452,CS,03351,  2,"Full Term ... 
16-JAN to 03-MAY",Day,"CYBER SEC: FUND, PRIN AND APPS","Stinchcombe, Fred
Kairamkonda, Tarun Teja
","TR      1400 1515 JAMES 2108 (Class)
T       1445 1645 JAMES 2108 (Exam)",Main,,3,20,0,0,20,0,50,0,50,20
24453,CS,03351,  3,"Full Term ... 
16-JAN to 03-MAY",Day,"CYBER SEC: FUND, PRIN AND APPS","Stinchcombe, Fred
Kairamkonda, Tarun Teja
","TR      1530 1645 JAMES 2108 (Class)
R       1445 1645 JAMES 2108 (Exam)",Main,,3,20,0,0,20,0,50,0,50,20
24454,CS,03351,  4,"Full Term ... 
16-JAN to 03-MAY",Evening,"CYBER SEC: FUND, PRIN AND APPS","Vitale, Russell","M       1830 1945 JAMES 2108 (Class)
M       1905 2105 JAMES 2108 (Exam)
M       2000 2115 JAMES 2108 (Class)",Main,,3,20,0,0,19,1,50,0,50,20
24455,CS,03351,  5,"Full Term ... 
16-JAN to 03-MAY",Evening,"CYBER SEC: FUND, PRIN AND APPS","Vitale, Russell","T       1830 1945 JAMES 2108 (Class)
T       1905 2105 JAMES 2108 (Exam)
T       2000 2115 JAMES 2108 (Class)",Main,,3,20,0,0,19,1,50,0,50,20
24440,CS,03440,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,CLOUD COMPUT & INTERNET THINGS,"Zilovic, Bojan","M       1830 1945 ROBSON 207 (Class)
M       1905 2105 ROBSON 207 (Exam)
M       2000 2115 ROBSON 207 (Class)",Main,,3,10,0,0,11,-1,50,0,50,36*
24441,CS,03470,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,CYBER OPERATIONS,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
21089,CS,03500,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,FOUNDATIONS OF CYBERSECURITY,"Davie, Michael S","M       1830 1945 JAMES 3114 (Class)
M       1905 2105 JAMES 3114 (Exam)
M       2000 2115 JAMES 3114 (Class)",Main,,3,68,0,0,68,0,0,0,0,68
21091,CS,03506,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,CYBERSECURITY MGT/POLICY/RISK,"Tarabah, Sally","R       1830 1945 ROWAN 117 (Class)
R       1905 2105 ROWAN 117 (Exam)
R       2000 2115 ROWAN 117 (Class)",Main,,3,30,0,0,31,-1,0,0,0,116
21092,CS,03551,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,ADV CYBER SEC: PRINC AND APPS,"Campbell, Kevin L","T       1830 1945 ROWAN 117 (Class)
T       1905 2105 ROWAN 117 (Exam)
T       2000 2115 ROWAN 117 (Class)",Main,,3,100,0,0,78,22,0,0,0,116
25855,CS,03551,  2,"Full Term ... 
16-JAN to 03-MAY",Online,ADV CYBER SEC: PRINC AND APPS,"Patterson, Scott",   ,Online,,3,35,0,0,35,0,0,0,0,
21095,CS,03570,  1,"Full Term ... 
16-JAN to 03-MAY",Day,CYBER DEFENSE OP SYS & NETWKS,"Stinchcombe, Fred","W       1400 1515 ROWAN 117 (Class)
W       1445 1645 ROWAN 117 (Exam)
W       1530 1645 ROWAN 117 (Class)",Main,,3,65,0,0,71,-6,0,0,0,116
20500,CS,03580,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,CLOUD CMP/INTERNET OF THINGS,"Zilovic, Bojan","M       1830 1945 ROBSON 207 (Class)
M       1905 2105 ROBSON 207 (Exam)
M       2000 2115 ROBSON 207 (Class)",Main,,3,20,0,0,20,0,0,0,0,36*
21104,CS,03695,  1,"Full Term ... 
16-JAN to 03-MAY",Day,ADV TPS CYBER: LEGAL ISSUES,"Patterson, Scott","M       1400 1515 JAMES 2113 (Class)
M       1445 1645 JAMES 2113 (Exam)
M       1530 1645 JAMES 2113 (Class)",Main,,3,24,0,0,25,-1,0,0,0,28
24769,CS,03695,  2,"Full Term ... 
16-JAN to 03-MAY",Evening,ADV TPS CYBER: APPLIED CRYPTOG,"O'Malley, Katelyn","W       1830 1945 ROBSON 224 (Class)
W       1905 2105 ROBSON 224 (Exam)
W       2000 2115 ROBSON 224 (Class)",Main,,3,30,0,0,27,3,0,0,0,50
21110,CS,04103,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,"COMPUTER SCI & PROGMStudents must bring laptops to class.
","Escajadillo Munoa, Jose Isaac
Seedorf, Robert J
","M       1830 1945 JAMES 2101 (Lab)
M       2000 2115 JAMES 2101 (Lab)
T       1830 1945 ROBSON 121 (Lecture)
T       1905 2105 ROBSON 121 (Exam)
T       2000 2115 ROBSON 121 (Lecture)",Main,,4,31,0,0,29,2,50,0,50,36
21111,CS,04103,  2,"Full Term ... 
16-JAN to 03-MAY",Evening,"COMPUTER SCI & PROGMStudents must bring laptops to class.
","Escajadillo Munoa, Jose Isaac
Seedorf, Robert J
","T       1830 1945 ROBSON 121 (Lecture)
T       1905 2105 ROBSON 121 (Exam)
T       2000 2115 ROBSON 121 (Lecture)
W       1830 1945 JAMES 2101 (Lab)
W       2000 2115 JAMES 2101 (Lab)",Main,,4,31,0,0,31,0,50,0,50,36
21108,CS,04103,  3,"Full Term ... 
16-JAN to 03-MAY",Evening,COMPUTER SCI & PROGM,"Rea, James J.","W       1830 1945 JAMES 2113 (Lab)
W       2000 2115 JAMES 2113 (Lab)
R       1830 1945 ENTPRZ 517 (Lecture)
R       1905 2105 ENTPRZ 517 (Exam)
R       2000 2115 ENTPRZ 517 (Lecture)",Main,,4,28,0,0,12,16,50,0,50,28
