CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
21232,CS,07210,  2,"Full Term ... 
16-JAN to 03-MAY",Evening,FOUNDATIONS COMP SCI,"Tinkham, Nancy","TR      1700 1815 ROBSON 211 (Class)
T       1700 1900 ROBSON 211 (Exam)",Main,,3,30,0,0,31,-1,50,0,50,48
21233,CS,07210,  3,"Full Term ... 
16-JAN to 03-MAY",Day,FOUNDATIONS COMP SCI,"Kay, Jennifer S.","MW      1400 1515 ROBSON 211 (Class)
M       1230 1430 WESTBY 111 (Exam)",Main,,3,30,0,0,30,0,50,0,50,48
21234,CS,07210,  4,"Full Term ... 
16-JAN to 03-MAY",Day,HONORS FOUNDATIONS COMP SCI,"Kay, Jennifer S.","MW      1530 1645 ROBSON 211 (Class)
M       1230 1430 WESTBY 111 (Exam)",Main,,3,24,0,0,15,9,50,0,50,48
21235,CS,07210,  5,"Full Term ... 
16-JAN to 03-MAY",Day,FOUNDATIONS COMP SCI,"Kay, Jennifer S.","MW      0930 1045 ROBSON 121 (Class)
M       1230 1430 WESTBY 111 (Exam)",Main,,3,30,0,0,30,0,50,0,50,65
21239,CS,07340,  1,"Full Term ... 
16-JAN to 03-MAY",Day,DES-ANLYS ALGORITHMS,"Lobo, Andrea F.","TR      1100 1215 ROBSON 211 (Class)
T       1015 1215 ROBSON 211 (Exam)",Main,,3,30,0,0,30,0,50,0,50,48
21240,CS,07340,  2,"Full Term ... 
16-JAN to 03-MAY",Day,DES-ANLYS ALGORITHMS,"Lobo, Andrea F.","TR      1230 1345 ROBSON 101A (Class)
TR      1230 1345 ROBSON 211 (Class)
R       1230 1430 ROBSON 211 (Exam)",Main,,3,30,0,0,31,-1,50,0,50,40
21241,CS,07340,  3,"Full Term ... 
16-JAN to 03-MAY",Day,DES-ANLYS ALGORITHMS,"Hristescu, Gabriela","WF      1230 1345 ROBSON 323 (Class)
F       1445 1645 ROBSON 323 (Exam)",Main,,3,30,0,0,8,22,50,0,50,30
20558,CS,07459,  1,"Full Term ... 
16-JAN to 03-MAY",Day,MODELS OF DEEP LEARNING,"Kokalj-Filipovic, Silvija","R       1400 1515 ROBSON 211 (Class)
R       1445 1645 ROBSON 211 (Exam)
R       1530 1645 ROBSON 211 (Class)",Main,,3,15,0,0,5,10,50,0,50,48*
21249,CS,07460,  1,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER VISION,"Rabbitz, Richard J","R       1530 1645 ROBSON 323 (Class)
R       1700 1815 ROBSON 323 (Class)
R       1700 1900 ROBSON 323 (Exam)",Main,,3,30,0,0,28,2,50,0,50,30
21251,CS,07540,  1,"Full Term ... 
16-JAN to 03-MAY",Day,ADV DESIGN & ANALY OF ALGOR,"Fiedler, Frank","T       1015 1215 JAMES 3114 (Exam)
T       1100 1215 JAMES 3114 (Class)
T       1230 1345 JAMES 3114 (Class)",Main,,3,68,0,0,52,16,0,0,0,68
21252,CS,07540,  2,"Full Term ... 
16-JAN to 03-MAY",Day,ADV DESIGN & ANALY OF ALGOR,"Fiedler, Frank","R       1015 1215 JAMES 3114 (Exam)
R       1100 1215 JAMES 3114 (Class)
R       1230 1345 JAMES 3114 (Class)",Main,,3,68,0,0,54,14,0,0,0,68
21253,CS,07556,  1,"Full Term ... 
16-JAN to 03-MAY",Day,MACHINE LEARNING I,"Ho, Shen Shyang","F       1230 1345 ROBSON 121 (Class)
F       1400 1515 ROBSON 121 (Class)
F       1445 1645 ROBSON 121 (Exam)",Main,,3,30,0,0,16,14,0,0,0,65
20560,CS,07559,  1,"Full Term ... 
16-JAN to 03-MAY",Day,ADV MODELS OF DEEP LEARNING,"Kokalj-Filipovic, Silvija","R       1400 1515 ROBSON 211 (Class)
R       1445 1645 ROBSON 211 (Exam)
R       1530 1645 ROBSON 211 (Class)",Main,,3,15,0,0,15,0,0,0,0,48*
21254,CS,07565,  1,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER VISION,"Rabbitz, Richard J","F       1400 1515 ROBSON 207 (Class)
F       1445 1645 ROBSON 207 (Exam)
F       1530 1645 ROBSON 207 (Class)",Main,,3,30,0,0,35,-5,0,0,0,36
21255,CS,07595,  1,"Full Term ... 
16-JAN to 03-MAY",Day,ADV TPS CS: HW & DIGITAL SYS,"Trofimoff, Alejandro Erick","R       1445 1645 ROBSON 121 (Exam)
R       1530 1645 ROBSON 121 (Class)
R       1700 1815 ROBSON 121 (Class)",Main,,3,30,0,0,34,-4,0,0,0,65
21256,CS,07595,  2,"Full Term ... 
16-JAN to 03-MAY",Evening,ADV TPS CS: FUNCTIONAL PROG,"Juneja, Badal Raghuvir","W       1830 1945 ROBSON 323 (Class)
W       1905 2105 ROBSON 323 (Exam)
W       2000 2115 ROBSON 323 (Class)",Main,,3,30,0,0,30,0,0,0,0,30
25856,CS,07595,  3,"Full Term ... 
16-JAN to 03-MAY",Day,AT IN CS: WEB SERVER PLATFORMS,"Singer, Steven","W       0930 1045 ROBSON 325 (Class)
W       1015 1215 ROBSON 325 (Exam)
W       1100 1215 ROBSON 325 (Class)",Main,,3,0,0,0,19,-19,0,0,0,27*
25420,CS,07631,  1,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER SCIENCE THESIS II,"Ho, Shen Shyang",   ,Main,,3,0,0,0,1,-1,0,0,0,
25421,CS,07631,  2,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER SCIENCE THESIS II,"Kokalj-Filipovic, Silvija",   ,Main,,3,0,0,0,1,-1,0,0,0,
25422,CS,07631,  3,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER SCIENCE THESIS II,STAFF,,Main,,3,0,0,0,0,0,0,0,0,
25476,CS,07632,  1,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER SCIENCE THESIS III,"Ho, Shen Shyang",   ,Main,,3,0,0,0,1,-1,0,0,0,
24443,CS,08360,  1,"Full Term ... 
16-JAN to 03-MAY",Day,INTRO COMPUTER GRAPHICS,"Rabbitz, Richard J","M       1400 1515 ROBSON 325 (Class)
M       1445 1645 ROBSON 325 (Exam)
M       1530 1645 ROBSON 325 (Class)",Main,,3,13,0,0,13,0,50,0,50,27*
20557,CS,08560,  1,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER GRAPHICS,"Rabbitz, Richard J","M       1400 1515 ROBSON 325 (Class)
M       1445 1645 ROBSON 325 (Exam)
M       1530 1645 ROBSON 325 (Class)",Main,,3,14,0,0,14,0,0,0,0,27*
24444,CS,09415,  1,"Full Term ... 
16-JAN to 03-MAY",Day,WIRELESS NETWORKS & APPLIC,"Lobo, Andrea F.","T       1530 1645 ROBSON 121 (Class)
T       1700 1815 ROBSON 121 (Class)
T       1700 1900 ROBSON 121 (Exam)",Main,,3,2,0,0,2,0,50,0,50,65*
21257,CS,09510,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,COMPUTER NETWORKS,"Escajadillo Munoa, Jose Isaac","R       1830 1945 JAMES 3114 (Class)
R       1905 2105 JAMES 3114 (Exam)
R       2000 2115 JAMES 3114 (Class)",Main,,3,68,0,0,68,0,0,0,0,68
21258,CS,09510,  2,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER NETWORKS,"Chu, Heng Yi M","T       1015 1215 ROBSON 121 (Exam)
T       1100 1215 ROBSON 121 (Class)
T       1230 1345 ROBSON 121 (Class)",Main,,3,30,0,0,31,-1,0,0,0,65
20552,CS,09605,  1,"Full Term ... 
16-JAN to 03-MAY",Day,WIRELESS NETWORKS/SYSTEMS,"Lobo, Andrea F.","T       1530 1645 ROBSON 121 (Class)
T       1700 1815 ROBSON 121 (Class)
T       1700 1900 ROBSON 121 (Exam)",Main,,3,28,0,0,18,10,0,0,0,65*
25074,CS,09612,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,"NETWORK SECURITYASRC Fed Mission Solutions Eng only
","Chu, Heng Yi M",T       1630 1900   (Class),ASRC Fed Mission Solutions Eng,,3,30,0,0,29,1,0,0,0,
22275,CS,10271,  1,"Full Term ... 
16-JAN to 03-MAY",Day,INTRO TO ANDROID PROGRAMMING,"Robinson, John H.","MW      1530 1645 ROBSON 312 (Class)
W       1445 1645 ROBSON 312 (Exam)",Main,,3,27,0,0,14,13,50,0,50,27
21259,CS,10310,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,INTRO TO WEB DEVELOPMENT,"Burns, Edward Ewing","T       1830 1945 JAMES 2113 (Class)
T       1905 2105 JAMES 2113 (Exam)
T       2000 2115 JAMES 2113 (Class)",Main,,3,27,0,0,18,9,50,0,50,28
21261,CS,10310,  2,"Full Term ... 
16-JAN to 03-MAY",Evening,INTRO TO WEB DEVELOPMENT,"Hoxworth, Ryan","R       1830 1945 ROBSON 325 (Class)
R       1905 2105 ROBSON 325 (Exam)
R       2000 2115 ROBSON 325 (Class)",Main,,3,27,0,0,18,9,50,0,50,27
21262,CS,10310,  3,"Full Term ... 
16-JAN to 03-MAY",Online,"INTRO TO WEB DEVELOPMENT3+1 students only
","Hoxworth, Ryan",   ,Online,,3,20,0,0,16,4,50,0,50,
21263,CS,10337,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,APPLIED DATABASE TECHNOLOGIES,"Quinn, Philip Scott","T       1830 1945 ROBSON 312 (Class)
T       1905 2105 ROBSON 312 (Exam)
T       2000 2115 ROBSON 312 (Class)",Main,,3,27,0,0,27,0,50,0,50,27
21265,CS,10342,  1,"Full Term ... 
16-JAN to 03-MAY",Day,WEB SERVER PLATFORMS,"Singer, Steven","W       0930 1045 ROBSON 325 (Class)
W       1015 1215 ROBSON 325 (Exam)
W       1100 1215 ROBSON 325 (Class)",Main,,3,8,0,0,8,0,50,0,50,27*
21266,CS,10430,  1,"Full Term ... 
16-JAN to 03-MAY",Day,COMP INFORMATICS CAPSTONE EXP,"Toporski, Neil F.","T       1015 1215 ROBSON 207 (Exam)
T       1100 1215 ROBSON 207 (Class)",Main,,3,30,0,0,30,0,50,0,50,36
21268,CS,10430,  2,"Full Term ... 
16-JAN to 03-MAY",Day,COMP INFORMATICS CAPSTONE EXP,"Toporski, Neil F.","R       1015 1215 ROBSON 207 (Exam)
R       1100 1215 ROBSON 207 (Class)",Main,,3,30,0,0,19,11,50,0,50,36
21269,CS,10430,  3,"Full Term ... 
16-JAN to 03-MAY",Online,"COMP INFORMATICS CAPSTONE EXP3+1 students only
","Toporski, Neil F.",   ,Online,,3,30,0,0,24,6,50,0,50,
20563,CS,99300,  1,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER FLD EXPER,"Chien, Chia C",   ,Off-campus,,12,0,0,0,6,-6,0,0,0,
21271,CST,02110,  1,"Full Term ... 
16-JAN to 03-MAY",Online,IMPLEMENTATIONS OF SQL I,"Orta, Rafael J",   ,Online,,3,35,1,-7,34,1,0,0,0,
21272,CST,03201,  1,"Full Term ... 
16-JAN to 03-MAY",Online,SECURITY+,"Stinchcombe, Fred",   ,Online,,3,35,10,-1,35,0,50,0,50,
25245,CST,03201,  2,"Full Term ... 
16-JAN to 03-MAY",Online,SECURITY+,"Tarabah, Sally",   ,Online,,3,35,0,0,33,2,50,0,50,
21273,CST,03218,  1,"Full Term ... 
16-JAN to 03-MAY",Online,ETHICAL HACKING FUNDAMENTALS,"Tarabah, Sally",   ,Online,,3,35,10,0,34,1,50,0,50,
21274,CST,03252,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,FOUND OF COMPUTER FORENSICS,"Shah, Deval","W       1830 1945 ROBSON 121 (Class)
W       1905 2105 ROBSON 121 (Exam)
W       2000 2115 ROBSON 121 (Class)",Main,,3,30,0,0,28,2,50,0,50,65
25299,CST,03252,  2,"Full Term ... 
16-JAN to 03-MAY",Evening,FOUND OF COMPUTER FORENSICS,"Brickley, Joseph Carl","R       1830 1945 ROBSON 207 (Class)
R       1905 2105 ROBSON 207 (Exam)
R       2000 2115 ROBSON 207 (Class)",Main,,3,30,0,0,18,12,50,0,50,36
21288,CST,03315,  1,"Full Term ... 
16-JAN to 03-MAY",Online,ADVANCED PENETRATION TESTING,"Stinchcombe, Fred",   ,Online,,3,35,1,-1,6,29,0,0,0,
21289,CST,03370,  1,"Full Term ... 
16-JAN to 03-MAY",Online,IDS/IPS ADMINISTRATION,"Shelar, Akash",   ,Online,,3,35,1,-4,28,7,0,0,0,
21290,CST,03410,  1,"Full Term ... 
16-JAN to 03-MAY",Online,CYBER DEFENSE,"Brickley, Joseph Carl",   ,Online,,3,35,10,-1,35,0,50,0,50,
21291,CST,03418,  1,"Full Term ... 
16-JAN to 03-MAY",Online,ADV TOPICS IN ETHICAL HACKING,"Bronson, Hope Elizabeth",   ,Online,,3,35,1,-2,7,28,0,0,0,
21292,CST,06220,  1,"Full Term ... 
16-JAN to 03-MAY",Online,LINUX/UNIX ESSENTIALS,"Provine, Darren F.",   ,Online,,3,35,0,0,35,0,50,0,50,
21293,CST,06225,  1,"Full Term ... 
16-JAN to 03-MAY",Online,LINUX/UNIX ADMINISTRATION,"Green, Brian Christopher",   ,Online,,3,35,1,-3,6,29,0,0,0,
21294,CST,06230,  1,"Full Term ... 
16-JAN to 03-MAY",Online,MICROCOMP OP SYSTEMS I: WORKS,"Dorsey, Stephen",   ,Online,,3,35,1,-9,19,16,0,0,0,
21295,CST,09210,  1,"Full Term ... 
16-JAN to 03-MAY",Online,INTRO COMP NTWRKS/DATA COMM,"Chu, Heng Yi M",   ,Online,,3,35,1,-3,33,2,0,0,0,
21296,CST,09210,  2,"Full Term ... 
16-JAN to 03-MAY",Online,INTRO COMP NTWRKS/DATA COMM,"Chu, Heng Yi M",   ,Online,,3,35,1,0,34,1,0,0,0,
21297,CST,09210,  3,"Full Term ... 
16-JAN to 03-MAY",Online,INTRO COMP NTWRKS/DATA COMM,"Garron, Harold John",   ,Online,,3,35,1,-1,35,0,0,0,0,
21298,CST,09290,  1,"Full Term ... 
16-JAN to 03-MAY",Online,INTERMEDIATE NETWORKING,"Chu, Heng Yi M",   ,Online,,3,35,1,-8,22,13,0,0,0,
21299,CST,09310,  1,"Full Term ... 
16-JAN to 03-MAY",Online,NETWORK SUPPORT AND TROUBLESHO,"Ramsaran, Arnold Mahendra",   ,Online,,3,35,1,-6,13,22,0,0,0,
24421,DA,03510,  1,"Full Term ... 
16-JAN to 03-MAY",Online,PATIENT DATA UNDERSTANDING,"Poolos, Kimberly Rose",   ,Online,,3,35,0,0,36,-1,0,0,0,
21300,DA,03511,  1,"Full Term ... 
16-JAN to 03-MAY",Online,PATIENT DATA PRIVACY & ETHICS,"Diaz, Erika Mae",   ,Online,,3,35,0,0,37,-2,0,0,0,
21896,DS,02395,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,"SP TPS IN DS: SMART DRONESSmart Drones and Robots -Artificial Intelligence and Autonomous Vehicles
","Nguyen, Hieu Duc","T       1700 1815 ROBSON 212 (Class)
T       1830 1945 ROBSON 212 (Class)
T       1905 2105 ROBSON 212 (Exam)",Main,,3,15,0,0,8,7,0,0,0,40*
22278,DS,02510,  1,"Full Term ... 
16-JAN to 03-MAY",Day,VISUAL ANALYTICS,"Sun, Bo","R       1230 1345 ROBSON 323 (Class)
R       1230 1430 ROBSON 323 (Exam)
R       1400 1515 ROBSON 323 (Class)",Main,,3,30,0,0,23,7,0,0,0,30
22280,DS,02510,  2,"Full Term ... 
16-JAN to 03-MAY",Day,VISUAL ANALYTICS,"Sun, Bo","T       1400 1515 ROBSON 211 (Class)
T       1445 1645 ROBSON 211 (Exam)
T       1530 1645 ROBSON 211 (Class)",Main,,3,30,0,0,30,0,0,0,0,48
21302,DS,02695,  2,"Full Term ... 
16-JAN to 03-MAY",Day,ADV TPS DS: APPLIED DATA SCI,"Banerjee, Protima","F       0930 1045 JAMES 3114 (Class)
F       1015 1215 JAMES 3114 (Exam)
F       1100 1215 JAMES 3114 (Class)",Main,,3,30,0,0,20,10,0,0,0,68
24366,DS,02695,  3,"Full Term ... 
16-JAN to 03-MAY",Evening,ADV TPS DS: SMART DRONES,"Nguyen, Hieu Duc","T       1700 1815 ROBSON 212 (Class)
T       1700 1900 ROBSON 212 (Exam)
T       1830 1945 ROBSON 212 (Class)",Main,,3,15,0,0,9,6,0,0,0,40*
25514,DS,02799,  1,"Full Term ... 
16-JAN to 03-MAY",Day,DOCTORAL RESEARCH AND DISSERTA,"Ivanov, Nick",   ,Main,,3,0,0,0,1,-1,0,0,0,
25851,DS,02799,  2,"Full Term ... 
16-JAN to 03-MAY",Day,DOCTORAL RESEARCH AND DISSERTA,"Sun, Bo",   ,Main,,6,0,0,0,1,-1,0,0,0,
25477,DS,03650,  1,"Full Term ... 
16-JAN to 03-MAY",Day,THESIS I DATA SCIENCE,"Sun, Bo",   ,Main,,3,0,0,0,1,-1,0,0,0,
25480,DS,03650,  2,"Full Term ... 
16-JAN to 03-MAY",Day,THESIS I DATA SCIENCE,"Ho, Shen Shyang",   ,Main,,3,0,0,0,1,-1,0,0,0,
25519,DS,03652,  1,"Full Term ... 
16-JAN to 03-MAY",Day,THESIS III DATA SCIENCE,"Mantawy, Islam M.",   ,Main,,3,0,0,0,1,-1,0,0,0,
20491,INTR,01265,  1,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTERS & SOCIETY,"Coakley, Thomas James","MW      0930 1045 ROBSON 207 (Class)
W       1015 1215 ROBSON 207 (Exam)",Main,,3,24,0,0,24,0,50,0,50,36
20495,INTR,01265,  2,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTERS & SOCIETY,"Coakley, Thomas James","MW      1100 1215 ROBSON 207 (Class)
M       1015 1215 ROBSON 207 (Exam)",Main,,3,24,0,0,23,1,50,0,50,36
20494,INTR,01265,  3,"Full Term ... 
16-JAN to 03-MAY",Evening,COMPUTERS & SOCIETY,"Caranci, Frank A.","M       1830 1945 ROBSON 305 (Class)
M       1905 2105 ROBSON 305 (Exam)
M       2000 2115 ROBSON 305 (Class)",Main,,3,24,0,0,20,4,50,0,50,24
20497,INTR,01265,  4,"Full Term ... 
16-JAN to 03-MAY",Evening,COMPUTERS & SOCIETY,"Poolos, Kimberly Rose","W       1230 1345 ROBSON 207 (Class)
W       1230 1430 ROBSON 207 (Exam)
W       1400 1515 ROBSON 207 (Class)",Main,,3,24,0,0,23,1,50,0,50,36
20496,INTR,01265,  5,"Full Term ... 
16-JAN to 03-MAY",Evening,COMPUTERS & SOCIETY,"DeStefano, Davann Catherine","TR      1700 1815 ROBSON 305 (Class)
T       1700 1900 ROBSON 305 (Exam)",Main,,3,24,0,0,21,3,50,0,50,24
20498,INTR,01265,  6,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTERS & SOCIETY,"Daws, Len E.",   ,Online,,3,35,0,0,33,2,50,0,50,
20493,INTR,01265,  7,"Module Four ... 
12-MAR to 06-MAY",Online,COMPUTERS & SOCIETY,STAFF,,Online,,3,0,0,0,0,0,0,0,0,
20492,INTR,01265,  8,"Module Four ... 
12-MAR to 06-MAY",Online,COMPUTERS & SOCIETY,"DeStefano, Davann Catherine",   ,Online,,3,35,0,0,27,8,50,0,50,